Item,Type,Quantity,Price (USD),Item total (USD),Link,Column 1
"T-Display S3 Long
",Screen,1,$32.13,$32.13,https://lilygo.cc/en-us/products/t-display-s3-long?variant=44211063390389,
SEN54-SDN-T,Sensor,1,$26.85,$26.85,https://www.digikey.com/en/products/detail/sensirion-ag/SEN54-SDN-T/15903868 ,
BME280,Sensor,1,$14.95,$14.95,https://www.digikey.com/en/products/detail/adafruit-industries-llc/2652/5604372 ,
SEN0377,Sensor,1,$39.90,$39.90,https://www.digikey.com/en/products/detail/dfrobot/SEN0377/15848107,
SCD41,Sensor,1,$28.99,$28.99,https://www.amazon.com/HiLetgo-Temperature-Humidity-Communication-Monitoring/dp/B0CDWXWCS5,
Qwiic Cable (50mm),Cable,2,$1.50,$3.00,https://www.digikey.com/en/products/detail/sparkfun-electronics/17260/13629028,
JST GHR-06V-S,Connector,2,$0.15,$0.30,https://www.digikey.com/en/products/detail/jst-sales-america-inc/GHR-06V-S/807818,
JST GHR-07V-S,Connector,2,$0.14,$0.28,https://www.digikey.com/en/products/detail/jst-sales-america-inc/GHR-07V-S/807819,
JST PHR-4,Connector,2,$0.10,$0.20,https://www.digikey.com/en/products/detail/jst-sales-america-inc/PHR-4/608606,
Amphenol 68604-804HLF,Connector,1,$0.53,$0.53,https://www.digikey.com/en/products/detail/amphenol-fci/68604-804HLF/11606373?curr=usd&utm_campaign=buynow&utm_medium=aggregator&utm_source=octopart,
JST ASPHSPH24K51,Connector,4,$0.33,$1.32,https://www.digikey.com/en/products/detail/jst-sales-america-inc/ASPHSPH24K51/6009457?curr=usd&utm_campaign=buynow&utm_medium=aggregator&utm_source=octopart, 
JST AGHGH28K51,Connector,12,$0.39,$4.68,https://www.digikey.com/en/products/detail/jst-sales-america-inc/AGHGH28K51/6009448?curr=usd&utm_campaign=buynow&utm_medium=aggregator&utm_source=octopart,
Custom Made Mainboard,PCB,5,$1.20,$6.00,N/A on JLC PCB. Plus ~$7-12 for a stencil,
Custom Made Breakout Board,PCB,5,$1.20,$6.00,N/A on JLC PCB. Plus ~$7-12 for a stencil,
Mainboard Components,Components,N/A,N/A,$22.00,See PCB Files for details,
Breakout Board Componets,Components,N/A,N/A,$6.00,See PCB Files for details,
,,,,$193.13,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,

,,,, ,,
